_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
603a466f0a720fde100001ae,,,1.61443E+12,1.61443E+12,,1.61443E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6039f3340a720fde1000016f,25,COMPLETE_NONPARTNER_RECEIPT,1.61441E+12,1.61441E+12,,1.61441E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603996a70a7217c72c000145,,,1.61439E+12,1.61439E+12,,1.61439E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a097e0a720fde10000180,,,1.61442E+12,1.61442E+12,,1.61442E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6039be770a720fde10000143,25,COMPLETE_NONPARTNER_RECEIPT,1.6144E+12,1.6144E+12,,1.6144E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603a479d0a7217c72c0001e7,,,1.61443E+12,1.61443E+12,,1.61443E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6039d4bc0a7217c72c000184,25,COMPLETE_NONPARTNER_RECEIPT,1.6144E+12,1.6144E+12,,1.6144E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603a001e0a7217c72c0001a0,,,1.61441E+12,1.61441E+12,,1.61441E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a398a0a7217c72c0001da,,,1.61443E+12,1.61443E+12,,1.61443E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6039b8a20a7217c72c000164,,,1.6144E+12,1.6144E+12,,1.6144E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603997d20a720fde10000124,,,1.61439E+12,1.61439E+12,,1.61439E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a16620a7217c72c0001b8,,,1.61442E+12,1.61442E+12,,1.61442E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a90430a7217c72c000226,,,1.61445E+12,1.61445E+12,,1.61445E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603995740a720fde10000120,25,COMPLETE_NONPARTNER_RECEIPT,1.61439E+12,1.61439E+12,,1.61439E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603a698f0a720fde100001d1,25,COMPLETE_NONPARTNER_RECEIPT,1.61444E+12,1.61444E+12,,1.61444E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603ac2a60a720fde10000217,,,1.61446E+12,1.61446E+12,,1.61446E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
